date:2023/04/24 time:09:37:05 [main] INFO  com.learn.events.publisher.ZeeCafePublisher - streaming big bang theory: ep-001
date:2023/04/24 time:09:37:48 [main] INFO  com.learn.events.publisher.ZeeCafePublisher - ZeeCafe:streamBigBangTheory => streaming big bang theory: ep-001
date:2023/04/24 time:09:38:21 [main] INFO  com.learn.events.publisher.ZeeCafePublisher - streamBigBangTheory => streaming big bang theory: ep-001
date:2023/04/24 time:09:41:55 [main] INFO  com.learn.events.publisher.ZeeCafePublisher - streamBigBangTheory => streaming big bang theory: ep-001
date:2023/04/24 time:09:41:55 [main] INFO  com.learn.events.listener.VivekListener - Vivek: started watching BBT
date:2023/04/24 time:09:41:55 [main] INFO  com.learn.events.listener.VivekListener - Vivek: playing BBT: ep-001
date:2023/04/24 time:09:42:37 [main] INFO  com.learn.events.publisher.ZeeCafePublisher - streamBigBangTheory => streaming big bang theory: ep-001
date:2023/04/24 time:09:42:37 [main] INFO  com.learn.events.listener.VivekListener - Vivek: started watching BBT
date:2023/04/24 time:09:42:37 [main] INFO  com.learn.events.listener.VivekListener - Vivek: playing BBT: ep-001
date:2023/04/24 time:09:43:11 [main] INFO  com.learn.events.publisher.ZeeCafePublisher - streamBigBangTheory => streaming big bang theory: ep-001
date:2023/04/24 time:09:43:11 [main] INFO  com.learn.events.listener.VivekListener - Vivek: started watching BBT
date:2023/04/24 time:09:43:11 [main] INFO  com.learn.events.listener.VivekListener - Vivek: playing BBT: ep-001
date:2023/04/24 time:09:43:11 [main] INFO  com.learn.events.listener.VishalListener - Vishal: started watching BBT
date:2023/04/24 time:09:43:11 [main] INFO  com.learn.events.listener.VishalListener - Vishal: playing BBT: ep-001
date:2023/04/24 time:09:47:05 [main] INFO  com.learn.events.publisher.ZeeCafePublisher - streamBigBangTheory => streaming big bang theory: ep-001
date:2023/04/24 time:09:47:05 [main] INFO  com.learn.events.listener.VivekListener - Vivek: started watching BBT
date:2023/04/24 time:09:47:05 [main] INFO  com.learn.events.listener.VivekListener - Vivek: playing BBT: ep-001
date:2023/04/24 time:09:47:05 [main] INFO  com.learn.events.listener.VishalListener - Vishal: started watching BBT
date:2023/04/24 time:09:47:05 [main] INFO  com.learn.events.listener.VishalListener - Vishal: playing BBT: ep-001
date:2023/04/24 time:09:47:05 [main] INFO  com.learn.events.listener.AnupListener - Anup: started watching BBT
date:2023/04/24 time:09:47:05 [main] INFO  com.learn.events.listener.AnupListener - Anup: playing BBT: ep-001
date:2023/04/24 time:10:00:47 [main] INFO  com.learn.events.publisher.ZeeCafePublisher - streamBigBangTheory => streaming big bang theory: ep-001
date:2023/04/24 time:10:00:47 [main] INFO  com.learn.events.listener.AnupListener - Anup: started watching BBT
date:2023/04/24 time:10:00:47 [main] INFO  com.learn.events.listener.AnupListener - Anup: playing BBT: ep-001
date:2023/04/24 time:10:00:47 [main] INFO  com.learn.events.listener.VishalListener - Vishal: started watching BBT
date:2023/04/24 time:10:00:47 [main] INFO  com.learn.events.listener.VishalListener - Vishal: playing BBT: ep-001
date:2023/04/24 time:10:00:47 [main] INFO  com.learn.events.listener.VivekListener - Vivek: started watching BBT
date:2023/04/24 time:10:00:47 [main] INFO  com.learn.events.listener.VivekListener - Vivek: playing BBT: ep-001
date:2023/04/24 time:10:12:44 [main] INFO  com.learn.events.publisher.ZeeCafePublisher - streamBigBangTheory => streaming big bang theory: ep-001
date:2023/04/24 time:10:12:44 [main] INFO  com.learn.events.listener.AnupListener - Anup: started watching BBT
